CELTIC,SCOTLN,WALES,UNEMPL,MINMAN,MANUAL,NONMAN,ROOMPC,CARSPC,UNSKLL,PROFSS,EMPMAN,PERSWK,OWNHOM,WCLLAB,MCLCON,LABR66,LABR70,CONS66,CONS70
0,0,0,.004,.550,.579,.387,1.681,.205,.060,.085,.116,.165,.498,.403,.674,.400,.370,.490,.550
0,0,0,.013,.561,.781,.212,1.634,.078,.150,.018,.070,.189,.255,.500,.647,.670,.550,.330,.340
0,0,0,.011,.591,.664,.326,1.735,.121,.070,.033,.097,.174,.460,.492,.593,.520,.530,.370,.470
0,0,0,.006,.489,.490,.503,1.898,.262,.047,.103,.205,.127,.591,.390,.732,.240,.210,.510,.600
0,0,0,.009,.572,.740,.254,1.733,.132,.104,.024,.070,.173,.625,.408,.607,.540,.480,.460,.520
0,0,0,.011,.619,.691,.305,1.754,.169,.085,.045,.120,.175,.516,.428,.675,.420,.400,.390,.440
1,1,0,.044,.554,.797,.197,.994,.050,.131,.012,.028,.195,.122,.640,.292,.680,.640,.190,.200
1,1,0,.019,.654,.699,.293,1.245,.116,.111,.040,.082,.223,.307,.510,.447,.610,.520,.390,.400
1,1,0,.013,.503,.674,.311,1.380,.105,.114,.041,.076,.156,.345,.523,.568,.610,.520,.390,.390
1,1,0,.014,.260,.573,.243,1.469,.169,.083,.018,.117,.212,.358,.329,.720,.340,.230,.480,.490
1,1,0,.012,.649,.726,.256,1.418,.129,.108,.038,.091,.178,.232,.542,.531,.580,.520,.420,.420
0,0,0,.022,.487,.549,.443,1.788,.121,.076,.093,.124,.127,.382,.517,.662,.400,.440,.500,.560
0,0,0,.019,.722,.781,.205,1.452,.106,.069,.022,.057,.269,.258,.738,.750,.780,.740,.220,.260
0,0,0,.006,.296,.621,.299,1.764,.207,.061,.032,.123,.219,.507,.414,.725,.380,.330,.620,.670
0,0,0,.007,.634,.755,.240,1.662,.108,.079,.016,.072,.172,.410,.423,.679,.560,.520,.320,.350
0,0,0,.007,.533,.594,.397,1.793,.140,.081,.059,.143,.145,.531,.359,.745,.430,.430,.570,.570
0,0,0,.012,.449,.725,.268,1.790,.130,.127,.027,.106,.243,.543,.542,.780,.590,.520,.410,.390
0,0,0,.014,.790,.867,.121,1.575,.100,.062,.011,.042,.352,.244,.788,.412,.850,.810,.150,.190
0,0,0,.010,.690,.778,.214,1.891,.125,.087,.018,.067,.194,.505,.411,.643,.540,.490,.340,.450
0,0,0,.009,.618,.746,.233,1.713,.168,.086,.030,.088,.236,.351,.592,.537,.620,.550,.380,.390
0,0,0,.005,.633,.715,.269,1.740,.191,.062,.036,.100,.257,.362,.522,.711,.570,.520,.430,.480
0,0,0,.009,.552,.668,.306,1.828,.166,.088,.028,.092,.169,.530,.587,.727,.500,.440,.390,.440
0,0,0,.007,.362,.686,.244,1.919,.233,.081,.030,.121,.280,.456,.410,.874,.370,.360,.450,.520
0,0,0,.012,.477,.758,.233,1.369,.083,.134,.013,.050,.184,.021,.560,.526,.710,.670,.240,.330
0,0,0,.012,.440,.699,.289,1.330,.095,.124,.027,.067,.181,.323,.455,.486,.590,.590,.310,.360
0,0,0,.009,.491,.665,.328,1.802,.135,.089,.022,.075,.155,.447,.558,.513,.540,.570,.370,.430
0,0,0,.013,.409,.617,.366,1.583,.120,.092,.039,.081,.177,.265,.467,.682,.520,.400,.410,.500
0,0,0,.006,.472,.576,.412,1.719,.160,.065,.060,.111,.169,.401,.506,.608,.480,.510,.460,.490
0,0,0,.006,.489,.509,.475,1.872,.194,.049,.085,.145,.116,.696,.377,.652,.400,.380,.450,.500
0,0,0,.005,.455,.460,.528,1.866,.223,.046,.100,.181,.107,.639,.379,.721,.340,.320,.510,.570
0,0,0,.005,.393,.383,.611,1.917,.230,.028,.106,.216,.092,.686,.240,.752,.260,.260,.560,.610
0,0,0,.009,.546,.670,.294,1.746,.159,.092,.042,.078,.150,.511,.399,.738,.520,.450,.480,.550
0,0,0,.005,.432,.543,.295,1.713,.185,.070,.038,.086,.127,.627,.349,.714,.340,.290,.520,.540
0,0,0,.002,.672,.618,.374,1.647,.208,.050,.072,.114,.167,.313,.531,.651,.570,.480,.430,.440
0,0,0,.003,.604,.565,.426,1.734,.243,.048,.092,.149,.152,.433,.373,.629,.420,.360,.440,.520
0,0,0,.003,.498,.589,.401,1.716,.222,.059,.069,.143,.169,.405,.441,.603,.370,.350,.460,.540
0,0,0,.016,.436,.613,.371,2.049,.177,.073,.042,.145,.168,.604,.326,.777,.290,.230,.490,.520
0,0,0,.005,.456,.624,.304,1.693,.217,.065,.049,.111,.174,.443,.427,.641,.390,.370,.460,.510
0,0,0,.004,.409,.491,.495,1.840,.276,.052,.094,.199,.137,.593,.378,.773,.280,.250,.540,.590
0,0,0,.008,.595,.686,.304,1.848,.190,.076,.031,.078,.146,.644,.563,.673,.610,.550,.390,.450
0,0,0,.009,.319,.604,.322,1.827,.191,.083,.040,.100,.158,.542,.421,.641,.420,.390,.460,.520
0,0,0,.006,.528,.602,.388,1.791,.238,.061,.068,.150,.169,.587,.535,.741,.430,.420,.460,.580
0,0,0,.007,.371,.635,.322,1.914,.270,.059,.041,.146,.231,.548,.213,.795,.170,.170,.480,.580
1,0,1,.014,.617,.718,.270,1.792,.153,.116,.041,.082,.184,.561,.548,.679,.600,.560,.400,.410
1,0,1,.022,.670,.741,.247,1.894,.176,.096,.033,.080,.224,.613,.706,.447,.770,.630,.230,.230
0,0,0,.006,.780,.808,.183,1.690,.155,.100,.028,.062,.190,.367,.488,.698,.660,.620,.340,.380
0,0,0,.007,.756,.792,.200,1.767,.126,.115,.021,.047,.193,.408,.430,.697,.540,.520,.440,.450
0,0,0,.004,.612,.477,.511,1.871,.257,.030,.101,.190,.106,.644,.338,.699,.250,.290,.520,.570
0,0,0,.005,.651,.662,.318,1.643,.210,.059,.049,.123,.200,.468,.420,.738,.540,.480,.460,.520
0,0,0,.003,.697,.707,.285,1.631,.211,.048,.044,.106,.217,.544,.489,.779,.540,.470,.460,.530
0,0,0,.025,.459,.717,.272,1.688,.078,.142,.037,.059,.203,.297,.475,.610,.570,.540,.430,.460
0,0,0,.009,.680,.718,.275,1.692,.132,.123,.041,.097,.183,.462,.385,.615,.530,.420,.280,.280
0,0,0,.009,.616,.701,.293,1.792,.137,.100,.033,.091,.150,.524,.433,.634,.560,.460,.440,.410
0,0,0,.011,.695,.748,.244,1.677,.146,.112,.031,.072,.194,.504,.633,.639,.740,.690,.260,.310
0,0,0,.021,.403,.609,.382,1.913,.136,.063,.047,.125,.161,.717,.342,.705,.340,.320,.470,.550
0,0,0,.006,.470,.580,.391,1.781,.184,.078,.066,.128,.158,.518,.453,.727,.400,.380,.460,.520
1,1,0,.077,.659,.869,.116,.879,.029,.249,.005,.022,.204,.160,.563,.480,.740,.630,.260,.220
1,1,0,.016,.612,.633,.362,1.399,.121,.096,.046,.112,.141,.342,.486,.680,.540,.520,.390,.430
1,1,0,.014,.488,.670,.326,1.283,.094,.119,.039,.091,.158,.490,.468,.646,.570,.460,.420,.410
1,1,0,.010,.425,.685,.287,1.503,.175,.075,.028,.142,.257,.311,.231,.691,.300,.210,.700,.560
1,1,0,.025,.340,.648,.338,1.485,.161,.089,.041,.135,.181,.360,.328,.477,.280,.230,.330,.310
